Year,Month,temp_2,temp_1,temp_3,actual
1990,1,0.2,0.37,0.29,0.41
1990,2,0.37,0.41,0.2,0.44
1990,3,0.41,0.44,0.37,0.8
1990,4,0.44,0.8,0.41,0.56
1990,5,0.8,0.56,0.44,0.45
1990,6,0.56,0.45,0.8,0.37
1990,7,0.45,0.37,0.56,0.46
1990,8,0.37,0.46,0.45,0.34
1990,9,0.46,0.34,0.37,0.23
1990,10,0.34,0.23,0.46,0.44
1990,11,0.23,0.44,0.34,0.46
1990,12,0.44,0.46,0.23,0.4
1991,1,0.46,0.4,0.44,0.42
1991,2,0.4,0.42,0.46,0.49
1991,3,0.42,0.49,0.4,0.35
1991,4,0.49,0.35,0.42,0.51
1991,5,0.35,0.51,0.49,0.34
1991,6,0.51,0.34,0.35,0.53
1991,7,0.34,0.53,0.51,0.47
1991,8,0.53,0.47,0.34,0.39
1991,9,0.47,0.39,0.53,0.44
1991,10,0.39,0.44,0.47,0.29
1991,11,0.44,0.29,0.39,0.29
1991,12,0.29,0.29,0.44,0.32
1992,1,0.29,0.32,0.29,0.47
1992,2,0.32,0.47,0.29,0.4
1992,3,0.47,0.4,0.32,0.48
1992,4,0.4,0.48,0.47,0.27
1992,5,0.48,0.27,0.4,0.31
1992,6,0.27,0.31,0.48,0.25
1992,7,0.31,0.25,0.27,0.08
1992,8,0.25,0.08,0.31,0.08
1992,9,0.08,0.08,0.25,-0.01
1992,10,0.08,-0.01,0.08,0.06
1992,11,-0.01,0.06,0.08,0.02
1992,12,0.06,0.02,-0.01,0.21
1993,1,0.02,0.21,0.06,0.34
1993,2,0.21,0.34,0.02,0.37
1993,3,0.34,0.37,0.21,0.36
1993,4,0.37,0.36,0.34,0.27
1993,5,0.36,0.27,0.37,0.28
1993,6,0.27,0.28,0.36,0.23
1993,7,0.28,0.23,0.27,0.25
1993,8,0.23,0.25,0.28,0.11
1993,9,0.25,0.11,0.23,0.11
1993,10,0.11,0.11,0.25,0.23
1993,11,0.11,0.23,0.11,0.03
1993,12,0.23,0.03,0.11,0.18
1994,1,0.03,0.18,0.23,0.26
1994,2,0.18,0.26,0.03,0.02
1994,3,0.26,0.02,0.18,0.29
1994,4,0.02,0.29,0.26,0.41
1994,5,0.29,0.41,0.02,0.28
1994,6,0.41,0.28,0.29,0.43
1994,7,0.28,0.43,0.41,0.3
1994,8,0.43,0.3,0.28,0.21
1994,9,0.3,0.21,0.43,0.32
1994,10,0.21,0.32,0.3,0.42
1994,11,0.32,0.42,0.21,0.44
1994,12,0.42,0.44,0.32,0.38
1995,1,0.44,0.38,0.42,0.52
1995,2,0.38,0.52,0.44,0.79
1995,3,0.52,0.79,0.38,0.46
1995,4,0.79,0.46,0.52,0.47
1995,5,0.46,0.47,0.79,0.27
1995,6,0.47,0.27,0.46,0.43
1995,7,0.27,0.43,0.47,0.45
1995,8,0.43,0.45,0.27,0.45
